@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
53.230000000, -15.207000000, -15.414000000, -0.430000000, 51.420000000, 1330.008700000, 60.600000000, 57.320000000, 49.440000000, 0.452700000, 50.174963373, -14.414000000, -0.261900000, -15.768000000, -15.384000000, 53.660000000, Q
48.170000000, -17.304000000, -12.857000000, 0.094900000, 43.540000000, 620.170700000, 54.940000000, 60.980000000, 56.510000000, 0.288500000, 49.346337136, -13.623000000, 0.017000000, -17.723000000, -16.122000000, 49.980000000, P
56.630000000, -9.462000000, -15.466000000, -0.372700000, 56.310000000, 11725.097900000, 38.030000000, 32.970000000, 35.000000000, -0.206500000, 50.381912155, -15.230000000, -0.730000000, -11.640000000, -12.241000000, 49.660000000, F
46.490000000, -11.901000000, -16.268000000, 0.188200000, 54.530000000, 4605.916100000, 46.040000000, 59.970000000, 41.860000000, 0.060600000, 48.627424555, -14.237000000, -0.154600000, -17.084000000, -14.055000000, 39.400000000, P
42.660000000, -11.286000000, -16.258000000, 0.099700000, 53.900000000, 6210.991400000, 43.160000000, 55.500000000, 40.080000000, 0.126000000, 48.797113788, -12.797000000, 0.016800000, -15.407000000, -13.268000000, 44.430000000, P
48.120000000, -17.008000000, -12.739000000, 0.009800000, 44.500000000, 651.326000000, 54.990000000, 61.590000000, 60.020000000, 0.275900000, 49.297766447, -13.449000000, 0.022700000, -17.598000000, -14.956000000, 46.090000000, P
52.450000000, -11.202000000, -12.154000000, 0.436900000, 44.580000000, 6004.239800000, 60.460000000, 46.760000000, 45.000000000, -0.398600000, 49.669566458, -14.600000000, -0.236300000, -13.481000000, -16.462000000, 46.110000000, F
52.140000000, -17.851000000, -15.651000000, -0.350000000, 54.550000000, 454.021300000, 62.100000000, 51.670000000, 61.380000000, -0.176200000, 51.094364167, -13.414000000, 0.047600000, -13.617000000, -16.647000000, 58.880000000, Q
53.620000000, -17.099000000, -15.394000000, -0.314200000, 54.790000000, 718.512300000, 60.570000000, 54.810000000, 61.460000000, -0.052300000, 51.429474311, -13.048000000, 0.117000000, -15.350000000, -15.342000000, 58.760000000, Q
37.960000000, -14.871000000, -12.578000000, -0.002600000, 46.790000000, 1534.331500000, 48.520000000, 44.790000000, 47.900000000, -0.148900000, 49.831052124, -11.298000000, -0.285200000, -13.825000000, -12.548000000, 46.340000000, V
57.310000000, -16.075000000, -14.271000000, 0.295100000, 50.710000000, 1004.776100000, 51.100000000, 48.750000000, 59.400000000, -0.557300000, 49.569217882, -16.378000000, -0.463600000, -14.247000000, -14.022000000, 48.830000000, P
36.850000000, -16.615000000, -11.494000000, 0.098400000, 44.260000000, 748.128200000, 43.800000000, 37.350000000, 55.140000000, 0.275700000, 47.754388557, -9.842000000, 0.051400000, -11.606000000, -10.823000000, 49.580000000, V
51.690000000, -12.010000000, -16.586000000, 0.156500000, 56.730000000, 4644.867900000, 46.210000000, 61.620000000, 41.670000000, 0.027800000, 48.222371733, -14.559000000, -0.193100000, -17.487000000, -14.092000000, 39.400000000, P
47.800000000, -16.645000000, -12.830000000, -0.319100000, 47.310000000, 755.214800000, 54.120000000, 51.380000000, 59.020000000, -0.397200000, 47.912487811, -13.738000000, -0.196700000, -15.674000000, -12.938000000, 40.310000000, P
48.170000000, -17.304000000, -12.921000000, 0.034900000, 43.560000000, 620.170700000, 54.940000000, 59.740000000, 56.510000000, 0.288500000, 49.346337136, -13.623000000, 0.017000000, -16.863000000, -16.122000000, 40.020000000, P
48.750000000, -16.974000000, -17.254000000, -0.136900000, 56.940000000, 696.722100000, 38.560000000, 56.180000000, 57.110000000, -0.017500000, 51.314312431, -14.316000000, -0.640900000, -16.050000000, -12.238000000, 58.200000000, Q
48.170000000, -17.304000000, -12.857000000, 0.094900000, 43.540000000, 620.170700000, 54.940000000, 59.740000000, 56.510000000, 0.288500000, 49.346337136, -13.623000000, 0.017000000, -16.863000000, -16.122000000, 48.810000000, P
47.560000000, -14.186000000, -15.654000000, -0.461700000, 55.050000000, 2020.520000000, 45.040000000, 41.990000000, 52.990000000, 0.051300000, 48.698388660, -12.384000000, 0.237100000, -11.545000000, -13.805000000, 44.440000000, P
58.610000000, -10.865000000, -12.498000000, 0.456700000, 46.260000000, 9785.397700000, 50.860000000, 48.630000000, 40.080000000, -0.824700000, 48.443688641, -16.446000000, -0.078300000, -12.303000000, -13.457000000, 39.080000000, F
35.590000000, -14.691000000, -8.478000000, 0.206600000, 36.120000000, 1592.877300000, 43.860000000, 58.080000000, 47.730000000, -0.307700000, 50.637313968, -9.050000000, 0.160700000, -15.596000000, -12.041000000, 43.010000000, V
45.480000000, -13.902000000, -11.812000000, -0.599700000, 36.960000000, 2361.222600000, 45.350000000, 50.510000000, 40.880000000, 0.130500000, 47.205482593, -12.102000000, -0.069600000, -16.203000000, -13.407000000, 37.440000000, V
37.970000000, -14.955000000, -11.494000000, 0.098400000, 44.260000000, 1632.254500000, 45.880000000, 47.860000000, 48.440000000, 0.117900000, 47.088987129, -10.124000000, 0.046400000, -12.792000000, -11.381000000, 46.920000000, V
58.210000000, -14.662000000, -15.938000000, -0.032400000, 56.680000000, 1727.431300000, 63.010000000, 60.330000000, 47.020000000, 0.084200000, 50.651749686, -14.588000000, 0.012600000, -16.192000000, -16.930000000, 56.930000000, Q
