@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE att17 numeric
@ATTRIBUTE att18 numeric
@ATTRIBUTE att19 numeric
@ATTRIBUTE att20 numeric
@ATTRIBUTE att21 numeric
@ATTRIBUTE att22 numeric
@ATTRIBUTE att23 numeric
@ATTRIBUTE att24 numeric
@ATTRIBUTE att25 numeric
@ATTRIBUTE att26 numeric
@ATTRIBUTE att27 numeric
@ATTRIBUTE att28 numeric
@ATTRIBUTE att29 numeric
@ATTRIBUTE att30 numeric
@ATTRIBUTE att31 numeric
@ATTRIBUTE att32 numeric
@ATTRIBUTE att33 numeric
@ATTRIBUTE att34 numeric
@ATTRIBUTE att35 numeric
@ATTRIBUTE att36 numeric
@ATTRIBUTE att37 numeric
@ATTRIBUTE att38 numeric
@ATTRIBUTE att39 numeric
@ATTRIBUTE att40 numeric
@ATTRIBUTE att41 numeric
@ATTRIBUTE att42 numeric
@ATTRIBUTE att43 numeric
@ATTRIBUTE att44 numeric
@ATTRIBUTE att45 numeric
@ATTRIBUTE att46 numeric
@ATTRIBUTE att47 numeric
@ATTRIBUTE att48 numeric
@ATTRIBUTE att49 numeric
@ATTRIBUTE att50 numeric
@ATTRIBUTE att51 numeric
@ATTRIBUTE att52 numeric
@ATTRIBUTE att53 numeric
@ATTRIBUTE att54 numeric
@ATTRIBUTE att55 numeric
@ATTRIBUTE att56 numeric
@ATTRIBUTE att57 numeric
@ATTRIBUTE att58 numeric
@ATTRIBUTE att59 numeric
@ATTRIBUTE att60 numeric
@ATTRIBUTE att61 numeric
@ATTRIBUTE att62 numeric
@ATTRIBUTE att63 numeric
@ATTRIBUTE att64 numeric
@ATTRIBUTE att65 numeric
@ATTRIBUTE att66 numeric
@ATTRIBUTE att67 numeric
@ATTRIBUTE att68 numeric
@ATTRIBUTE att69 numeric
@ATTRIBUTE att70 numeric
@ATTRIBUTE att71 numeric
@ATTRIBUTE att72 numeric
@ATTRIBUTE att73 numeric
@ATTRIBUTE att74 numeric
@ATTRIBUTE att75 numeric
@ATTRIBUTE att76 numeric
@ATTRIBUTE att77 numeric
@ATTRIBUTE att78 numeric
@ATTRIBUTE att79 numeric
@ATTRIBUTE att80 numeric
@ATTRIBUTE att81 numeric
@ATTRIBUTE att82 numeric
@ATTRIBUTE att83 numeric
@ATTRIBUTE att84 numeric
@ATTRIBUTE att85 numeric
@ATTRIBUTE att86 numeric
@ATTRIBUTE att87 numeric
@ATTRIBUTE att88 numeric
@ATTRIBUTE att89 numeric
@ATTRIBUTE att90 numeric
@ATTRIBUTE att91 numeric
@ATTRIBUTE att92 numeric
@ATTRIBUTE att93 numeric
@ATTRIBUTE att94 numeric
@ATTRIBUTE att95 numeric
@ATTRIBUTE att96 numeric
@ATTRIBUTE att97 numeric
@ATTRIBUTE att98 numeric
@ATTRIBUTE att99 numeric
@ATTRIBUTE att100 numeric
@ATTRIBUTE att101 numeric
@ATTRIBUTE att102 numeric
@ATTRIBUTE att103 numeric
@ATTRIBUTE att104 numeric
@ATTRIBUTE att105 numeric
@ATTRIBUTE att106 numeric
@ATTRIBUTE att107 numeric
@ATTRIBUTE att108 numeric
@ATTRIBUTE att109 numeric
@ATTRIBUTE att110 numeric
@ATTRIBUTE att111 numeric
@ATTRIBUTE att112 numeric
@ATTRIBUTE att113 numeric
@ATTRIBUTE att114 numeric
@ATTRIBUTE att115 numeric
@ATTRIBUTE att116 numeric
@ATTRIBUTE att117 numeric
@ATTRIBUTE att118 numeric
@ATTRIBUTE att119 numeric
@ATTRIBUTE att120 numeric
@ATTRIBUTE att121 numeric
@ATTRIBUTE att122 numeric
@ATTRIBUTE att123 numeric
@ATTRIBUTE att124 numeric
@ATTRIBUTE att125 numeric
@ATTRIBUTE att126 numeric
@ATTRIBUTE att127 numeric
@ATTRIBUTE att128 numeric
@ATTRIBUTE att129 numeric
@ATTRIBUTE att130 numeric
@ATTRIBUTE att131 numeric
@ATTRIBUTE att132 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
-0.231300000, -0.036000000, 0.006200000, 0.063400000, -0.169500000, -0.556300000, -0.710100000, 0.006300000, -0.230800000, -0.275600000, -0.679500000, -0.395400000, 0.141500000, -0.165700000, -0.481400000, -0.674400000, -0.124300000, 0.379100000, 0.119300000, 0.386500000, 0.009100000, -0.566200000, 45.902914856, 48.116695050, 46.071543103, 45.984261489, 45.908549231, 46.689509697, 46.734245593, 45.750787710, 45.081052808, 48.108867536, 48.655122468, 48.072323121, 47.590195290, 47.301966053, 47.921981138, 47.045882713, 47.969766062, 46.573351429, 47.159619433, 47.269242381, 47.937992132, 49.869379992, 106.083000000, 105.092000000, 105.682000000, 105.664000000, 105.803000000, 105.732000000, 105.006000000, 105.703000000, 106.249000000, 104.770000000, 104.435000000, 105.187000000, 105.307000000, 105.112000000, 104.516000000, 104.841000000, 105.059000000, 105.354000000, 105.647000000, 105.352000000, 105.242000000, 104.507000000, -16.449000000, -18.224000000, -17.690000000, -17.732000000, -16.887000000, -15.253000000, -14.056000000, -17.450000000, -18.197000000, -17.963000000, -13.422000000, -15.335000000, -13.976000000, -15.481000000, -11.443000000, -12.702000000, -13.776000000, -11.380000000, -13.595000000, -14.236000000, -13.695000000, -14.850000000, 897.524400000, 423.876300000, 507.649900000, 510.139900000, 691.086800000, 1276.231000000, 2151.109900000, 703.943700000, 412.573500000, 453.862900000, 2385.891400000, 1479.119100000, 2050.740500000, 1217.555100000, 5257.880300000, 3724.424700000, 2416.778900000, 5672.297300000, 2977.959900000, 1973.529600000, 2517.310000000, 1541.178800000, 56.570000000, 63.580000000, 59.060000000, 59.160000000, 54.500000000, 52.340000000, 48.030000000, 56.650000000, 63.680000000, 60.400000000, 48.420000000, 52.700000000, 54.840000000, 51.640000000, 40.500000000, 40.630000000, 47.970000000, 46.390000000, 56.560000000, 54.710000000, 47.370000000, 53.380000000, Q
-0.126700000, -0.440000000, -0.006600000, 0.046500000, 0.266900000, 0.000400000, -0.463000000, -0.338300000, -0.099300000, -0.660000000, -0.471400000, -1.540300000, -0.656100000, -0.391600000, -0.412100000, 0.542800000, 0.346500000, -0.328500000, -0.492200000, -0.464900000, -0.733200000, -0.324300000, 48.156268082, 50.185086988, 48.492956253, 47.196058575, 45.350613477, 47.980470065, 48.621819976, 48.652520995, 48.062201970, 46.862057692, 47.332340587, 47.812868134, 47.851214458, 47.885146465, 48.819558455, 47.092791034, 48.720549707, 50.314317416, 46.782254857, 47.236422557, 47.077252178, 46.950674898, 104.689000000, 104.364000000, 104.480000000, 104.691000000, 105.351000000, 104.643000000, 104.954000000, 105.004000000, 105.179000000, 104.658000000, 104.417000000, 103.795000000, 105.135000000, 105.708000000, 105.182000000, 105.472000000, 105.042000000, 104.824000000, 105.536000000, 105.088000000, 105.121000000, 105.435000000, -10.773000000, -13.470000000, -13.649000000, -11.799000000, -8.994000000, -10.890000000, -10.827000000, -12.036000000, -11.798000000, -9.764000000, -11.456000000, -10.380000000, -15.226000000, -14.331000000, -13.666000000, -13.361000000, -12.145000000, -14.467000000, -13.406000000, -12.724000000, -15.061000000, -15.353000000, 7157.428600000, 2924.456400000, 2482.410700000, 5134.533700000, 15548.220200000, 8209.111100000, 7336.830700000, 5390.590800000, 4802.271700000, 10441.593400000, 7979.530300000, 8472.241600000, 2156.009900000, 1834.976100000, 2662.797800000, 2730.011900000, 4780.483600000, 1832.435300000, 2612.463200000, 4035.381300000, 1580.720900000, 1339.235400000, 42.000000000, 48.100000000, 51.010000000, 47.330000000, 40.610000000, 41.860000000, 38.510000000, 44.700000000, 41.480000000, 38.190000000, 41.030000000, 35.780000000, 58.010000000, 53.670000000, 52.020000000, 49.550000000, 46.610000000, 49.100000000, 47.890000000, 44.960000000, 55.820000000, 52.280000000, F
-0.028400000, -0.587600000, -0.331100000, -0.307700000, -0.116900000, 0.422500000, -0.284900000, -0.177900000, 0.230900000, 0.165000000, -0.375300000, -0.195200000, -0.120800000, 0.014900000, -0.245800000, -0.105200000, -0.322700000, 0.006500000, -0.619300000, -0.067600000, -0.009200000, -0.055900000, 48.654484514, 47.956634114, 49.457115001, 49.221072037, 48.554666052, 47.964682454, 48.272777661, 47.729087555, 48.458515386, 48.269515012, 47.782705469, 47.233401387, 49.317418557, 49.374926255, 50.051937159, 48.475778975, 50.318012127, 49.056103591, 48.358220737, 46.066698733, 47.598002501, 49.112258101, 105.054000000, 104.575000000, 104.687000000, 104.775000000, 104.955000000, 105.229000000, 104.289000000, 105.007000000, 104.677000000, 104.890000000, 105.227000000, 105.326000000, 105.315000000, 105.138000000, 104.679000000, 105.224000000, 104.503000000, 104.550000000, 104.660000000, 105.381000000, 105.066000000, 104.737000000, -12.762000000, -12.933000000, -12.600000000, -12.177000000, -12.140000000, -12.707000000, -11.776000000, -13.729000000, -15.821000000, -17.503000000, -16.277000000, -16.204000000, -15.977000000, -12.265000000, -13.307000000, -13.475000000, -13.852000000, -12.945000000, -14.295000000, -14.596000000, -16.265000000, -16.774000000, 3749.480900000, 3317.414600000, 3623.544300000, 4268.656900000, 5182.856600000, 3534.689600000, 5589.739600000, 2574.505200000, 1128.013100000, 653.066700000, 882.764600000, 847.677000000, 991.417800000, 3760.249500000, 3236.257400000, 2609.827200000, 2285.448000000, 3080.655200000, 2103.410900000, 2003.055400000, 828.935400000, 774.146200000, 50.390000000, 45.300000000, 40.130000000, 39.090000000, 46.560000000, 52.790000000, 39.680000000, 47.130000000, 50.600000000, 59.610000000, 53.780000000, 55.950000000, 56.640000000, 48.250000000, 43.300000000, 46.920000000, 46.350000000, 43.430000000, 46.860000000, 45.420000000, 53.560000000, 56.220000000, F
-0.292500000, -0.735900000, -0.112300000, -0.197300000, -0.571400000, -0.127500000, 0.060200000, 0.062800000, -0.042300000, -0.106700000, -1.037100000, 0.029600000, -0.587700000, -0.266500000, -0.632200000, -0.640500000, -0.019000000, 0.199400000, -0.213900000, -0.892500000, -0.149600000, 0.266600000, 48.824862168, 50.245139199, 48.781734309, 49.512661625, 51.082808252, 50.048008390, 50.558940994, 48.660488757, 47.817372151, 50.146037456, 47.263968595, 44.334366440, 47.750877083, 49.914527513, 48.832008759, 49.710896289, 46.130631462, 47.490708239, 48.712753542, 48.291188538, 46.555433064, 47.116088865, 104.593000000, 104.661000000, 105.202000000, 105.054000000, 104.400000000, 104.362000000, 104.219000000, 104.926000000, 105.525000000, 104.962000000, 104.748000000, 105.746000000, 105.335000000, 105.213000000, 104.603000000, 104.827000000, 105.947000000, 105.905000000, 105.073000000, 104.737000000, 104.918000000, 105.010000000, -15.677000000, -15.462000000, -17.554000000, -15.452000000, -14.619000000, -15.252000000, -14.265000000, -14.820000000, -16.941000000, -16.816000000, -13.306000000, -14.330000000, -12.811000000, -14.235000000, -11.687000000, -12.150000000, -12.524000000, -12.930000000, -14.272000000, -13.710000000, -13.215000000, -12.911000000, 1220.998400000, 1402.850700000, 534.448400000, 1067.320500000, 1539.962000000, 1666.232800000, 1889.383600000, 1888.241300000, 695.053400000, 674.944300000, 2539.530300000, 2075.519100000, 3736.873800000, 1897.547200000, 5047.610100000, 4833.263200000, 3725.680600000, 3397.043100000, 2063.946200000, 2353.057300000, 3078.758300000, 3495.002800000, 57.280000000, 52.270000000, 62.360000000, 55.330000000, 50.460000000, 57.620000000, 48.560000000, 46.020000000, 60.340000000, 61.970000000, 49.500000000, 55.750000000, 49.260000000, 53.620000000, 40.210000000, 44.130000000, 47.530000000, 47.700000000, 51.660000000, 44.380000000, 50.710000000, 49.310000000, V
0.055800000, -0.227100000, -0.322100000, 0.065400000, -0.414300000, -0.330700000, -0.642300000, -0.326700000, -0.221400000, -0.176200000, -0.419900000, -0.067700000, 0.047600000, -0.350000000, -0.294000000, -0.420100000, -0.305700000, -0.286400000, -0.199900000, -0.463800000, -0.169100000, -0.229500000, 51.752489819, 49.818102775, 48.583214263, 49.146917021, 48.693589735, 49.849101638, 47.791943265, 49.557189413, 45.509715649, 45.671095174, 48.778705060, 51.094364167, 49.276600537, 46.417515689, 47.918013022, 49.769308922, 46.699596838, 47.969895042, 47.034019687, 47.615068984, 48.806535737, 50.129229426, 104.561000000, 104.416000000, 105.085000000, 104.993000000, 104.831000000, 104.640000000, 105.035000000, 105.042000000, 105.970000000, 105.566000000, 104.806000000, 104.529000000, 104.914000000, 105.008000000, 104.711000000, 104.567000000, 105.426000000, 104.951000000, 104.922000000, 105.004000000, 105.072000000, 105.011000000, -16.994000000, -13.497000000, -15.871000000, -15.897000000, -14.700000000, -14.098000000, -13.617000000, -16.840000000, -18.426000000, -17.851000000, -14.121000000, -16.647000000, -13.414000000, -15.651000000, -16.095000000, -15.930000000, -16.216000000, -13.359000000, -16.058000000, -14.532000000, -12.475000000, -15.102000000, 661.761700000, 2295.372400000, 1560.521900000, 995.322800000, 1764.284300000, 1947.009000000, 2774.250300000, 780.929400000, 406.988100000, 454.021300000, 1940.483400000, 863.497100000, 2629.563900000, 1519.364500000, 890.259900000, 1068.878500000, 926.835900000, 2668.806200000, 1105.981400000, 1681.576100000, 3891.767300000, 1814.818100000, 61.510000000, 46.270000000, 54.860000000, 52.910000000, 51.620000000, 55.410000000, 51.670000000, 60.100000000, 62.700000000, 61.380000000, 50.580000000, 62.100000000, 52.140000000, 54.550000000, 49.120000000, 55.540000000, 58.880000000, 49.860000000, 55.560000000, 53.360000000, 45.110000000, 54.140000000, Q
-0.477300000, -0.168300000, -0.421000000, -0.423500000, -0.620800000, -0.386500000, -0.139300000, -0.515400000, -1.492200000, -0.824700000, 0.316900000, -0.378600000, -0.078300000, 0.456700000, -0.047600000, -0.994800000, -1.094900000, -0.232600000, -0.097100000, -0.260900000, -0.414700000, -0.575800000, 48.545958431, 47.662780471, 48.419385802, 48.353320444, 47.706060586, 46.684895198, 47.827205070, 47.698523446, 48.202199418, 48.807618886, 48.728601437, 48.443688641, 49.150425495, 47.344073547, 47.165596155, 47.725645019, 48.792044390, 48.680804719, 50.007750792, 49.240957429, 50.553974642, 49.601762536, 104.331000000, 104.665000000, 104.663000000, 105.008000000, 104.770000000, 105.112000000, 104.870000000, 104.422000000, 103.616000000, 104.242000000, 105.144000000, 104.452000000, 104.687000000, 105.658000000, 105.187000000, 104.204000000, 104.132000000, 104.901000000, 105.055000000, 105.000000000, 104.438000000, 104.126000000, -11.910000000, -10.518000000, -11.215000000, -11.576000000, -10.421000000, -10.572000000, -12.303000000, -11.393000000, -9.268000000, -10.865000000, -13.485000000, -13.457000000, -16.446000000, -12.498000000, -12.689000000, -10.847000000, -11.551000000, -14.197000000, -13.175000000, -12.344000000, -11.929000000, -12.946000000, 5748.081300000, 7752.668500000, 6819.608600000, 5893.693400000, 8410.727100000, 9210.221200000, 4506.027600000, 5458.579500000, 15212.298800000, 9785.397700000, 2801.296900000, 2843.010800000, 941.865900000, 3587.610800000, 3687.719400000, 7367.613500000, 5729.978200000, 2263.738200000, 2895.765800000, 4112.277900000, 4617.384500000, 3274.294900000, 38.440000000, 40.780000000, 41.780000000, 40.130000000, 37.840000000, 41.130000000, 48.630000000, 40.290000000, 32.200000000, 40.080000000, 51.410000000, 50.860000000, 58.610000000, 46.260000000, 42.700000000, 36.780000000, 39.080000000, 47.150000000, 47.850000000, 38.720000000, 38.500000000, 44.190000000, F
-0.089500000, -0.153300000, -0.114800000, -0.056100000, -0.303200000, -0.493100000, -0.633200000, 0.075600000, 0.359300000, -0.644300000, -0.447800000, -1.540300000, -0.656100000, -0.495600000, -0.480000000, 0.542800000, 0.346500000, -0.328500000, -0.492200000, -0.464900000, -0.733200000, -0.324300000, 49.300485550, 49.278586110, 49.408044717, 49.944276013, 48.978326156, 49.380456359, 51.403926850, 50.331853491, 47.359772432, 47.255039057, 47.567615787, 47.812868134, 47.851214458, 47.818210925, 48.890447873, 47.092791034, 48.720549707, 50.314317416, 46.782254857, 47.236422557, 47.077252178, 46.950674898, 104.827000000, 104.662000000, 104.820000000, 104.808000000, 104.584000000, 103.983000000, 103.959000000, 104.798000000, 104.765000000, 104.418000000, 104.452000000, 103.795000000, 105.135000000, 105.732000000, 105.158000000, 105.472000000, 105.042000000, 104.824000000, 105.536000000, 105.088000000, 105.121000000, 105.435000000, -12.262000000, -11.500000000, -12.346000000, -12.187000000, -10.461000000, -11.099000000, -12.211000000, -12.768000000, -11.944000000, -10.218000000, -12.034000000, -10.380000000, -15.226000000, -14.346000000, -13.651000000, -13.361000000, -12.145000000, -14.467000000, -13.406000000, -12.724000000, -15.061000000, -15.353000000, 4592.796200000, 5506.907700000, 4653.269800000, 4061.441300000, 8661.666700000, 7394.552200000, 4471.218700000, 3526.472000000, 4641.652200000, 9159.531900000, 5177.987200000, 8472.241600000, 2155.864900000, 1814.980500000, 2673.231400000, 2730.011900000, 4780.483600000, 1832.435300000, 2612.463200000, 4035.381300000, 1580.720900000, 1348.066600000, 39.070000000, 36.710000000, 40.550000000, 39.060000000, 35.700000000, 39.260000000, 37.030000000, 45.180000000, 41.970000000, 36.930000000, 41.710000000, 35.780000000, 58.010000000, 54.200000000, 51.490000000, 49.550000000, 46.610000000, 49.100000000, 47.890000000, 44.960000000, 55.820000000, 52.280000000, F
-0.168600000, -0.431700000, -0.168100000, -0.025200000, 0.356600000, 0.034100000, 0.065100000, -0.221000000, -0.008200000, 0.060600000, -0.228900000, -0.176600000, -0.154600000, 0.188200000, -0.206100000, -0.641900000, -0.413000000, 0.077600000, -0.604400000, -0.692800000, -0.380600000, -0.234100000, 53.407112558, 51.003603177, 47.118318677, 46.773791000, 48.651253934, 47.154265278, 48.277271959, 48.079114943, 48.854913717, 48.317463367, 47.254925200, 48.312474432, 48.722264574, 45.858849839, 51.514721056, 50.444047672, 48.613005756, 47.595979656, 48.506430047, 48.242122043, 48.351006009, 47.112612799, 104.198000000, 104.076000000, 105.376000000, 105.280000000, 104.684000000, 105.390000000, 105.053000000, 104.561000000, 104.890000000, 104.728000000, 105.123000000, 104.916000000, 104.671000000, 105.542000000, 104.609000000, 104.418000000, 104.349000000, 105.084000000, 104.635000000, 104.538000000, 104.495000000, 105.352000000, -14.643000000, -14.162000000, -17.748000000, -18.638000000, -15.806000000, -15.917000000, -17.084000000, -16.100000000, -14.445000000, -11.901000000, -16.207000000, -13.779000000, -14.237000000, -16.268000000, -14.884000000, -12.246000000, -11.993000000, -11.563000000, -12.232000000, -14.291000000, -13.311000000, -16.311000000, 1730.300900000, 2078.228600000, 562.665600000, 352.191800000, 988.571800000, 1029.540800000, 739.570500000, 896.725500000, 2051.537100000, 4606.411200000, 1327.172600000, 2255.320400000, 2236.689700000, 960.707500000, 1461.240700000, 4003.241500000, 4587.504500000, 5394.632300000, 4401.980800000, 2132.587000000, 2652.987700000, 1296.592500000, 51.820000000, 46.460000000, 63.060000000, 62.590000000, 52.120000000, 56.490000000, 59.970000000, 58.100000000, 47.900000000, 41.860000000, 54.320000000, 45.030000000, 46.490000000, 54.530000000, 53.180000000, 40.670000000, 42.960000000, 41.410000000, 45.810000000, 50.280000000, 47.230000000, 59.980000000, P
-0.477300000, -0.168300000, -0.421000000, -0.423500000, -0.620800000, -0.386500000, -0.139300000, -0.515400000, -1.492200000, -0.824700000, 0.316900000, -0.378600000, -0.078300000, 0.456700000, -0.047600000, -0.994800000, -1.094900000, -0.232600000, -0.097100000, -0.260900000, -0.414700000, -0.575800000, 48.545958431, 47.662780471, 48.419385802, 48.353320444, 47.706060586, 46.684895198, 47.827205070, 47.698523446, 48.202199418, 48.807618886, 48.728601437, 48.443688641, 49.150425495, 47.344073547, 47.165596155, 47.725645019, 48.792044390, 48.680804719, 50.007750792, 49.240957429, 50.553974642, 49.601762536, 104.331000000, 104.665000000, 104.663000000, 105.008000000, 104.770000000, 105.112000000, 104.870000000, 104.422000000, 103.616000000, 104.242000000, 105.144000000, 104.452000000, 104.687000000, 105.658000000, 105.187000000, 104.204000000, 104.132000000, 104.901000000, 105.055000000, 105.000000000, 104.438000000, 104.126000000, -11.910000000, -10.518000000, -11.215000000, -11.576000000, -10.421000000, -10.572000000, -12.303000000, -11.393000000, -9.268000000, -10.865000000, -13.485000000, -13.457000000, -16.446000000, -12.498000000, -12.689000000, -10.847000000, -11.551000000, -14.197000000, -13.175000000, -12.344000000, -11.929000000, -12.946000000, 5748.081300000, 7752.668500000, 6819.608600000, 5893.693400000, 8410.727100000, 9210.221200000, 4506.027600000, 5458.579500000, 15212.298800000, 9785.397700000, 2801.296900000, 2843.010800000, 941.865900000, 3587.610800000, 3687.719400000, 7367.613500000, 5729.978200000, 2263.738200000, 2895.765800000, 4112.277900000, 4617.384500000, 3274.294900000, 38.440000000, 40.780000000, 41.780000000, 40.130000000, 37.840000000, 41.130000000, 48.630000000, 40.290000000, 32.200000000, 40.080000000, 51.410000000, 50.860000000, 58.610000000, 46.260000000, 42.700000000, 36.780000000, 39.080000000, 47.150000000, 47.850000000, 38.720000000, 38.500000000, 44.190000000, F
-0.314700000, -0.267900000, -0.250600000, -0.376400000, -0.272100000, -0.138300000, -0.359000000, 0.142400000, 0.208700000, -0.092600000, -0.134700000, -0.398200000, 0.032500000, -0.094900000, 0.203000000, 0.335200000, -0.425500000, -0.546500000, -0.187400000, 0.040000000, -0.241900000, -0.070400000, 48.468319723, 47.455674141, 47.956083967, 48.815073084, 45.467174715, 45.906542512, 46.169097715, 47.353915262, 46.763409000, 46.604851036, 48.449122562, 50.932395387, 48.172160023, 47.684387888, 47.696118809, 45.487963408, 46.568794656, 48.254306640, 48.708999497, 49.939572543, 48.777845589, 49.858815723, 105.162000000, 105.214000000, 104.882000000, 105.057000000, 106.191000000, 105.674000000, 105.599000000, 105.335000000, 105.636000000, 105.674000000, 104.963000000, 104.224000000, 104.952000000, 105.162000000, 105.102000000, 105.696000000, 106.036000000, 104.628000000, 105.039000000, 104.600000000, 105.018000000, 104.868000000, -18.041000000, -19.254000000, -18.454000000, -16.422000000, -17.164000000, -16.713000000, -17.757000000, -17.945000000, -15.741000000, -16.015000000, -17.323000000, -15.015000000, -13.396000000, -15.823000000, -12.254000000, -15.651000000, -16.637000000, -13.505000000, -13.936000000, -13.854000000, -18.246000000, -16.710000000, 437.294700000, 238.582200000, 333.358200000, 889.932300000, 657.692200000, 791.550100000, 537.321900000, 459.245100000, 1058.057700000, 989.692600000, 598.043200000, 1439.790600000, 2554.212000000, 1112.477000000, 3716.252600000, 1681.010200000, 788.735300000, 2444.102500000, 2235.674200000, 2490.794000000, 487.740200000, 676.723800000, 65.890000000, 67.300000000, 63.080000000, 59.450000000, 60.380000000, 56.700000000, 64.080000000, 62.990000000, 52.560000000, 51.750000000, 63.370000000, 50.410000000, 48.280000000, 59.570000000, 44.070000000, 56.010000000, 60.220000000, 48.900000000, 53.680000000, 55.230000000, 67.140000000, 60.180000000, Q
