@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN20	numeric
@ATTRIBUTE NN21	numeric
@ATTRIBUTE NN22	numeric
@ATTRIBUTE NN23	numeric
@ATTRIBUTE NN24	numeric
@ATTRIBUTE NN25	numeric
@ATTRIBUTE class	numeric

@DATA
-1.300000000, -1.440000000, -1.450000000, -1.000000000, -1.280000000, -1.440000000, -22.760000000, -1.450000000, -1.300000000, -1.280000000, -1.440000000, -1.000000000, -0.580000000, 51.098958333
-1.300000000, -1.450000000, -1.000000000, -0.880000000, -1.000000000, -1.000000000, -24.870000000, -1.280000000, -1.300000000, -0.880000000, -1.450000000, -2.240000000, -1.280000000, 76.463541667
-1.000000000, -0.880000000, -1.450000000, -1.300000000, -1.440000000, -1.450000000, -23.010000000, -1.300000000, -1.280000000, -1.300000000, -1.280000000, -1.440000000, -1.000000000, 58.364583333
-1.440000000, -0.580000000, -1.280000000, -2.240000000, -1.450000000, -1.440000000, -22.440000000, -2.240000000, -1.450000000, -0.880000000, -1.300000000, -1.450000000, -0.880000000, 58.046875000
-1.000000000, -1.000000000, -1.300000000, -1.280000000, -1.300000000, -1.280000000, -20.010000000, -0.580000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, 182.645833333
-1.000000000, -1.000000000, -0.880000000, -1.300000000, -1.450000000, -1.440000000, -26.260000000, -1.300000000, -1.280000000, -1.450000000, -1.440000000, -1.450000000, -1.300000000, 15.692708333
-1.440000000, -1.280000000, -1.000000000, -1.000000000, -0.580000000, -1.440000000, -23.310000000, -1.000000000, -1.450000000, -1.440000000, -1.450000000, -2.240000000, -1.280000000, 75.151041667
-0.580000000, -0.880000000, -1.000000000, -1.000000000, -1.000000000, -0.580000000, -26.200000000, -2.170000000, -1.840000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, 22.380208333
-1.300000000, -2.170000000, -1.840000000, -2.240000000, -1.840000000, -1.450000000, -29.230000000, -1.300000000, -1.840000000, -1.450000000, -1.280000000, -2.240000000, -2.170000000, 3.083333333
-1.440000000, -1.450000000, -1.440000000, -1.840000000, -1.840000000, -1.840000000, -24.810000000, -2.240000000, -1.280000000, -1.450000000, -1.300000000, -0.880000000, -1.000000000, 49.317708333
-1.450000000, -1.440000000, -1.300000000, -1.450000000, -1.440000000, -2.170000000, -29.870000000, -1.450000000, -1.280000000, -2.240000000, -1.450000000, -1.280000000, -1.840000000, 3.958333333
-2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.280000000, -1.000000000, -28.390000000, -1.450000000, -1.300000000, -0.880000000, -1.000000000, -1.000000000, -0.580000000, 11.651041667
-1.280000000, -1.840000000, -1.840000000, -1.440000000, -1.450000000, -1.440000000, -25.850000000, -1.840000000, -1.840000000, -1.840000000, -1.280000000, -0.580000000, -0.880000000, 13.781250000
-0.580000000, -1.280000000, -1.440000000, -1.450000000, -1.440000000, -1.450000000, -21.860000000, -1.000000000, -0.580000000, -0.880000000, -0.580000000, -1.440000000, -1.840000000, 107.895833333
-0.880000000, -1.000000000, -0.580000000, -0.880000000, -1.000000000, -1.000000000, -19.100000000, -1.280000000, -1.000000000, -1.300000000, -1.280000000, -1.000000000, -1.000000000, 485.843750000
-1.840000000, -1.840000000, -2.240000000, -1.280000000, -0.580000000, -0.880000000, -25.840000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -2.170000000, -2.240000000, 19.333333333
-1.440000000, -1.000000000, -0.580000000, -1.440000000, -1.450000000, -1.280000000, -22.270000000, -1.280000000, -2.240000000, -1.280000000, -1.000000000, -1.000000000, -1.000000000, 83.489583333
-1.280000000, -0.580000000, -0.880000000, -1.000000000, -1.000000000, -1.450000000, -24.840000000, -1.440000000, -0.580000000, -1.440000000, -2.170000000, -2.240000000, -1.280000000, 36.088541667
-2.240000000, -1.450000000, -1.280000000, -1.300000000, -1.280000000, -2.240000000, -21.080000000, -1.000000000, -1.280000000, -1.440000000, -0.580000000, -0.880000000, -0.580000000, 109.666666667
-0.880000000, -0.580000000, -1.440000000, -1.840000000, -2.170000000, -1.300000000, -23.630000000, -1.440000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.300000000, 66.343750000
-1.280000000, -1.840000000, -1.300000000, -1.280000000, -2.240000000, -1.280000000, -23.140000000, -1.440000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.450000000, 97.619791667
-2.240000000, -1.450000000, -0.880000000, -1.450000000, -1.840000000, -1.300000000, -27.210000000, -1.450000000, -1.280000000, -2.240000000, -2.170000000, -1.300000000, -1.280000000, 20.479166667
-1.000000000, -0.880000000, -1.450000000, -2.240000000, -1.450000000, -1.280000000, -25.170000000, -1.000000000, -1.450000000, -1.840000000, -1.840000000, -1.300000000, -1.280000000, 34.776041667
-0.580000000, -0.880000000, -1.450000000, -1.300000000, -0.880000000, -0.580000000, -25.630000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, -1.840000000, -2.240000000, 48.406250000
-2.240000000, -1.450000000, -1.000000000, -1.000000000, -1.440000000, -1.450000000, -30.370000000, -1.280000000, -1.440000000, -1.000000000, -0.580000000, -1.440000000, -1.450000000, 3.052083333
-2.240000000, -1.450000000, -1.280000000, -1.840000000, -1.840000000, -1.840000000, -33.840000000, -1.450000000, -1.840000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, 0.718750000
-2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -0.880000000, -22.840000000, -1.300000000, -1.450000000, -0.880000000, -1.000000000, -1.450000000, -2.240000000, 80.588541667
-1.450000000, -0.880000000, -1.300000000, -1.840000000, -1.450000000, -0.880000000, -20.310000000, -1.450000000, -1.440000000, -1.280000000, -0.580000000, -1.280000000, -1.840000000, 170.630208333
-1.000000000, -1.000000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, -33.370000000, -1.440000000, -1.300000000, -2.170000000, -1.840000000, -1.300000000, -1.280000000, 1.083333333
-1.450000000, -2.240000000, -1.280000000, -1.000000000, -0.580000000, -1.440000000, -26.130000000, -1.280000000, -1.000000000, -1.300000000, -1.840000000, -1.840000000, -1.280000000, 31.140625000
-1.300000000, -1.440000000, -2.170000000, -1.440000000, -1.000000000, -1.300000000, -29.850000000, -1.280000000, -2.240000000, -2.170000000, -2.240000000, -1.450000000, -1.440000000, 4.708333333
-0.580000000, -1.440000000, -1.450000000, -1.440000000, -1.450000000, -1.440000000, -36.540000000, -1.450000000, -1.280000000, -1.840000000, -1.840000000, -1.840000000, -1.840000000, 0.421875000
-0.580000000, -1.000000000, -0.880000000, -1.450000000, -1.440000000, -1.450000000, -26.210000000, -1.450000000, -1.840000000, -1.300000000, -1.280000000, -1.840000000, -2.240000000, 17.062500000
-1.440000000, -0.580000000, -0.880000000, -1.300000000, -1.280000000, -1.450000000, -31.130000000, -1.300000000, -2.170000000, -1.840000000, -1.440000000, -1.000000000, -1.300000000, 3.302083333
-1.280000000, -1.450000000, -1.440000000, -1.300000000, -1.280000000, -0.580000000, -29.810000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -1.440000000, -1.280000000, 4.276041667
-1.300000000, -1.000000000, -0.880000000, -1.450000000, -2.240000000, -1.450000000, -25.450000000, -1.000000000, -1.000000000, -1.450000000, -1.840000000, -1.840000000, -1.300000000, 30.192708333
-1.440000000, -1.000000000, -1.300000000, -1.840000000, -2.170000000, -1.840000000, -29.690000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -1.000000000, 4.567708333
-1.300000000, -1.450000000, -1.280000000, -1.440000000, -1.450000000, -1.440000000, -24.750000000, -1.300000000, -1.440000000, -1.450000000, -1.280000000, -1.440000000, -1.300000000, 33.421875000
-1.000000000, -1.440000000, -1.450000000, -1.280000000, -2.240000000, -1.280000000, -29.400000000, -2.170000000, -1.840000000, -2.240000000, -1.450000000, -1.000000000, -1.280000000, 6.276041667
-1.300000000, -1.280000000, -1.440000000, -1.450000000, -1.840000000, -1.840000000, -31.810000000, -1.280000000, -1.300000000, -1.840000000, -1.840000000, -1.840000000, -2.170000000, 1.604166667
-1.000000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.440000000, -22.580000000, -1.000000000, -1.280000000, -1.840000000, -1.300000000, -1.280000000, -1.840000000, 77.656250000
